"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames","diffexpressed","delabel"
"STM0130",130.724102879265,-0.112950330776751,0.250889571083224,-0.450199385686236,0.652566679194646,0.998802608278029,"ddlB","NO",NA
"STM0131",90.8613533086838,-0.048238306313123,0.180876085407382,-0.266692560293292,0.789705882548371,0.998802608278029,"ftsQ","NO",NA
"STM0132",288.561535631443,-0.105406219177937,0.168901507969629,-0.624069142099614,0.532582178222892,0.998802608278029,"ftsA","NO",NA
"STM0133",702.862597432844,-0.00504114294260221,0.199027256924887,-0.0253289073089358,0.979792616625701,0.998802608278029,"ftsZ","NO",NA
"STM0134",1865.66673490687,-0.113042018746516,0.105965557101554,-1.06678077139896,0.286070843492833,0.998802608278029,"lpxC","NO",NA
"STM0135",81.4956915268813,-0.246511631906315,0.250415705472887,-0.984409629742674,0.324914145164737,0.998802608278029,"yacA","NO",NA
"STM0136",357.739930580425,-0.351018464237945,0.388579314165307,-0.903338009620905,0.366346529390073,0.998802608278029,"secA","NO",NA
"STM0137",8.71836021637447,-0.139425030331083,0.506453577645587,-0.275296762596179,0.783088251490054,0.998802608278029,"mutT","NO",NA
"STM0138",11.2495935412741,-0.126630078154301,0.385800017788047,-0.328227248096889,0.742739847037202,0.998802608278029,"yacG","NO",NA
"STM0139",46.0556196703518,0.127956539211381,0.257228978256599,0.497442162537917,0.618877279440533,0.998802608278029,"yacF","NO",NA
"STM0140",62.8870050094977,0.0945330100005145,0.196633067003423,0.480758457573511,0.630688178565465,0.998802608278029,"yacE","NO",NA
"STM0141",114.088824357836,-0.128148236166656,0.378682594092231,-0.338405403802227,0.735057702458722,0.998802608278029,"guaC","NO",NA
"STM0142",7.90406293021007,0.246906401501658,0.421185335674137,0.586217943952078,0.55772906474887,0.998802608278029,"hofC","NO",NA
"STM0143",4.91557145510463,-0.702784057669251,0.609528401231961,-1.15299640877899,0.248911858529491,0.998802608278029,"hofB","NO",NA
"STM0144",1.86273669902991,-0.706540600398305,1.00680400348712,-0.701765783559821,0.482825240537499,0.998802608278029,"ppdD","NO",NA
"STM0145",36.2117748185647,-0.168926412720235,0.252595023681914,-0.668763819088371,0.503646149953651,0.998802608278029,"nadC","NO",NA
"STM0146",60.2654017137277,0.198947118592307,0.256796338901317,0.774727238883104,0.438500851911257,0.998802608278029,"ampD","NO",NA
"STM0147",54.1451594420679,0.0848158044554464,0.221398263748588,0.383091551936288,0.701651883290064,0.998802608278029,"ampE","NO",NA
"STM0148",29.7764877013417,0.174917641952139,0.45589787354038,0.383677249015829,0.701217677078673,0.998802608278029,NA,"NO",NA
"STM0149",22.48908997336,-0.462241556520714,0.633928524312812,-0.729169833494701,0.465897781613145,0.998802608278029,NA,"NO",NA
"STM0150",128.460925644498,0.24972337433437,0.45775999518414,0.545533416990525,0.585386703866829,0.998802608278029,"aroP","NO",NA
"STM0151",110.042923999084,-0.099468140269128,0.298747605966942,-0.332950417952921,0.739171710486138,0.998802608278029,"pdhR","NO",NA
"STM0152",726.480866462522,0.14444305592775,0.385956093135636,0.374247378125959,0.708220278151926,0.998802608278029,"aceE","NO",NA
"STM0153",544.689382506636,0.162439824326974,0.406459737818255,0.399645547179896,0.689417604061653,0.998802608278029,"aceF","NO",NA
"STM0154",858.451289874746,-0.00250237395126917,0.307030868129598,-0.00815023572878319,0.993497124738883,0.998802608278029,"lpdA","NO",NA
"STM0155",1.15150347377501,1.94829490021136,1.63336797485841,1.19280831398708,0.232944453271107,0.998802608278029,NA,"NO",NA
"STM0156",5.48056833117819,0.987719095379497,0.513571303083548,1.92323653881965,0.0544503503924653,0.890690807646463,NA,"NO",NA
"STM0157",17.9557733472282,0.0735757808438825,0.349094335266248,0.21076188700618,0.83307308022865,0.998802608278029,"yacH","NO",NA
"STM0158",492.147735273035,-0.104661039974776,0.295799083716752,-0.353824760576326,0.723470216071807,0.998802608278029,"acnB","NO",NA
"STM0159",28.9769554728611,0.505456381093287,0.623897620043204,0.810159174927266,0.417848697794365,0.998802608278029,NA,"NO",NA
"STM0160",257.032672241333,0.051479385535362,0.363503941581424,0.141619882610904,0.887380261173383,0.998802608278029,"yacL","NO",NA
"STM0161",20.1258188348077,-0.190140969427158,0.426023544035322,-0.446315636986,0.655369262480631,0.998802608278029,"kdgT","NO",NA
"STM0162",24.835769578216,0.0986780842566155,0.322276765464802,0.306190500932631,0.759459604469359,0.998802608278029,NA,"NO",NA
"STM0163",40.5429083787991,0.064201858832335,0.285183606471907,0.22512464733368,0.821882307279333,0.998802608278029,NA,"NO",NA
"STM0164",107.086828487611,0.167427694889959,0.179897946150965,0.930681525121241,0.352018329129054,0.998802608278029,NA,"NO",NA
"STM0165",28.9440701691806,0.464686042110155,0.303441757394059,1.53138462583677,0.1256743615023,0.998802608278029,"speD","NO",NA
"STM0166",42.9090927376484,0.461997324488545,0.322932844029751,1.43062972079106,0.15253636483909,0.998802608278029,"speE","NO",NA
"STM0167",30.0325001880842,-0.106490198360293,0.309821535071025,-0.343714643127958,0.731060897780237,0.998802608278029,"yacC","NO",NA
"STM0168",56.1362155305397,-0.1487785492279,0.244216388916816,-0.609207882762428,0.542386656017112,0.998802608278029,"cueO","NO",NA
"STM0169",45.9297409158585,-0.738870514982696,0.524751656959249,-1.40803846006736,0.159119681880266,0.998802608278029,"gcd","NO",NA
"STM0170",37.5783044311695,-0.111672835873305,0.383914626476779,-0.29087934705207,0.771143597337624,0.998802608278029,"hpt","NO",NA
"STM0171",84.1993916781784,-0.0584205764275067,0.172905759562967,-0.337875248199766,0.735457200854632,0.998802608278029,"yadF","NO",NA
"STM0172",29.398162101841,-0.0728859734373502,0.319083652674438,-0.228422775113822,0.819317585441376,0.998802608278029,"yadG","NO",NA
"STM0173",19.6785100628958,-0.131318321794876,0.295275994776586,-0.444730774319245,0.656514326855568,0.998802608278029,"yadH","NO",NA
"STM0174",19.2664260517278,-0.00120525859898965,0.359873234094225,-0.00334911987000977,0.997327793958955,0.998802608278029,"stiH","NO",NA
"STM0175",7.33303313246147,-0.620435545104888,0.463603002740857,-1.33829060950172,0.180801721762271,0.998802608278029,"stiC","NO",NA
"STM0176",2.17694177606418,-1.26803908106336,0.859709163999234,-1.47496285274504,0.140222530713811,0.998802608278029,"stiB","NO",NA
"STM0177",7.73827640512956,-0.150370542753795,0.501643290644302,-0.299755913331686,0.764363345799566,0.998802608278029,"stiA","NO",NA
"STM0178",99.0032319094363,0.16988832638463,0.232767207235828,0.729863662506841,0.465473525698634,0.998802608278029,"yadI","NO",NA
"STM0179",73.1931487630824,0.181957842613897,0.243483623370454,0.747310394412246,0.454876219553514,0.998802608278029,"yadE","NO",NA
"STM0180",56.566841145689,0.154115123756401,0.229576957958032,0.671300487327538,0.502029124277164,0.998802608278029,"panD","NO",NA
"STM0181",54.8370120597988,-0.00120884375503066,0.337605804252496,-0.00358063676573096,0.997143071311543,0.998802608278029,"panC","NO",NA
"STM0182",36.7482512171049,-0.159249457512055,0.314358481948221,-0.506585527850605,0.612445664876705,0.998802608278029,"panB","NO",NA
"STM0183",6.22160421927033,-1.11409271098532,0.681303440193674,-1.63523717224826,0.101999338477535,0.998802608278029,"folK","NO",NA
"STM0184",75.1756945528436,-0.120466571910541,0.412040980563013,-0.292365511182735,0.770007174878624,0.998802608278029,"pcnB","NO",NA
"STM0185",22.5330662027029,-0.42116561896599,0.33656704013553,-1.25135728916412,0.21080415260203,0.998802608278029,"yadB","NO",NA
"STM0186",323.830843324269,-0.183113588478249,0.229487895649506,-0.797922644067972,0.424915381895201,0.998802608278029,"dksA","NO",NA
"STM0187",78.376883908384,-0.405328152278159,0.319618974624847,-1.26816048000252,0.204740646918756,0.998802608278029,"sfsA","NO",NA
"STM0188",27.6298113271753,-0.158584441053475,0.258887293300828,-0.61256170216589,0.54016618785923,0.998802608278029,"ligT","NO",NA
"STM0189",95.8796326884983,-0.147093882392865,0.215997880384393,-0.680996878909618,0.495873465319474,0.998802608278029,"hrpB","NO",NA
"STM0190",206.920685457138,-0.0260181541644002,0.265667604892745,-0.0979349897587407,0.921983915715103,0.998802608278029,"mrcB","NO",NA
"STM0191",178.510095775536,-0.31069291940004,0.4063869086727,-0.764524921373066,0.444554491215106,0.998802608278029,"fhuA","NO",NA
"STM0192",16.6781791282957,0.140765243814535,0.400106127731339,0.3518197649526,0.724973434764385,0.998802608278029,"fhuC","NO",NA
"STM0193",13.0897196346983,-0.0165230793078405,0.478082530768386,-0.0345611442469655,0.972429685375552,0.998802608278029,"fhuD","NO",NA
"STM0194",23.3681531546945,0.117571582067295,0.50718068362489,0.231813998173185,0.816682484212175,0.998802608278029,"fhuB","NO",NA
"STM0195",3.26081871591272,-0.0854127207780717,0.656763773487989,-0.130050901444298,0.89652615508561,0.998802608278029,"stfA","NO",NA
"STM0196",16.0497483844349,0.145499650233648,0.343631813017543,0.423417287695131,0.671990833923522,0.998802608278029,"stfC","NO",NA
"STM0197",1.19080064613361,0.51486109182048,0.991580668942794,0.519232683680105,0.603598489735824,0.998802608278029,"stfD","NO",NA
"STM0198",0.541036254224697,0.443946212700393,1.30855727873117,0.339263874739103,0.734410954289597,0.998802608278029,"stfE","NO",NA
"STM0199",2.07842187088997,0.432804587088255,0.904403274924705,0.478552653543065,0.632256907738048,0.998802608278029,"stfF","NO",NA
"STM0200",1.0072670313776,-0.253512526085033,1.04340985706607,-0.242965431434467,0.80803217685587,0.998802608278029,"stfG","NO",NA
"STM0201",41.9654633307513,-0.103233709488016,0.39040418411741,-0.264427774311378,0.791450312126219,0.998802608278029,NA,"NO",NA
"STM0202",174.744886603453,-0.0873880333369974,0.257217639845387,-0.339743547097027,0.734049664442335,0.998802608278029,"hemL","NO",NA
"STM0203",53.8890409799697,0.0571779022194832,0.228690179838523,0.250023425841268,0.802569232635347,0.998802608278029,"yadQ","NO",NA
"STM0204",131.766648808884,0.276345031444342,0.301991081419801,0.915076796788554,0.360151315117783,0.998802608278029,"yadR","NO",NA
"STM0205",62.6297457905915,0.0766101415930709,0.314167164999452,0.243851522781525,0.807345815107295,0.998802608278029,"yadS","NO",NA
"STM0206",18.5755912470061,-0.141857902397606,0.34943160900034,-0.405967573464333,0.684766426339523,0.998802608278029,"btuF","NO",NA
"STM0207",58.7364636493234,0.30609117543463,0.266399296994739,1.14899393086865,0.250558483252877,0.998802608278029,"pfs","NO",NA
"STM0208",52.1832321693632,0.0397063576070216,0.229300597584935,0.173162905047878,0.862523380600767,0.998802608278029,"dgt","NO",NA
